1 - 5,6 - 10,11 - 15,16 - 20,21 - 25,26 - 30,31 - 35,36 - 40,41 - 45,46 - 50,51 - 55,56 - 60,61 - 65,66 - 70,71 - 75,76 - 80,81 - 85,86 - 90,91 - 95,96 - 100,101 - 105,106 - 110,111 - 115,116 - 120,121 - 125,126 - 130,131 - 135,136 - 140,141 - 145,146 - 150,151 - 155,156 - 160,161 - 165,166 - 170,171 - 175,176 - 180,181 - 185,186 - 190,191 - 195,196 - 200,201 - 205,206 - 210,211 - 215,216 - 220,221 - 225,226 - 230,231 - 235,236 - 240,241 - 245,246 - 250,251 - 255,256 - 260,261 - 265,266 - 270,271 - 275,276 - 280,281 - 285,286 - 290,291 - 295,296 - 300,301 - 305,306 - 310,311 - 315,316 - 320,321 - 325,326 - 330,331 - 335,336 - 340,341 - 345,346 - 350,351 - 355,356 - 360,361 - 365
222.0,221.0,247.0,260.0,235.0,274.0,232.0,227.0,245.0,226.0,274.0,293.0,289.0,286.0,254.0,231.0,268.0,243.0,265.0,266.0,224.0,256.0,261.0,237.0,241.0,268.0,276.0,275.0,239.0,255.0,211.0,248.0,232.0,188.0,180.0,188.0,205.0,163.0,206.0,213.0,210.0,193.0,196.0,166.0,195.0,200.0,186.0,231.0,223.0,202.0,196.0,197.0,180.0,206.0,160.0,200.0,194.0,192.0,208.0,217.0,192.0,228.0,215.0,216.0,190.0,244.0,192.0,200.0,231.0,227.0,206.0,185.0,0.0
5.0,8.0,6.0,3.0,4.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,11.0,18.0,5.0,2.0,8.0,0.0,3.0,8.0,4.0,5.0,6.0,5.0,6.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,4.0,5.0,1.0,8.0,10.0,6.0,4.0,4.0,2.0,0.0,1.0,0.0,6.0,4.0,0.0
1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
