Unnamed: 0,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative,Cluster
803,,,1,13,,,,,,,1,0,,,,,1
804,,,1,13,,,,,,,1,0,,,,,1
806,,,1,21,,,,,,,1,0,,,,,1
807,,,1,32,,,,,,,1,0,,,,,1
809,,,1,12,,,,,,,1,0,,,,,1
813,,,1,6,,,,,,,1,0,,,,,1
816,,,1,8,,,,,,,1,0,,,,,1
819,,,1,6,,,,,,,1,0,,,,,1
822,,,1,9,,,,,,,1,0,,,,,1
824,,,1,5,,,,,,,1,0,,,,,1
825,,,1,11,,,,,,,1,0,,,,,1
826,,,1,5,,,,,,,1,0,,,,,1
829,,,1,5,,,,,,,1,0,,,,,1
831,,,1,29,,,,,,,1,0,,,,,1
834,,,1,5,,,,,,,1,0,,,,,1
837,,,1,18,,,,,,,1,0,,,,,1
838,,,1,8,,,,,,,1,0,,,,,1
839,,,1,116,,,,,,,68,13,0.0,0.0,,4.0,3
840,,,1,41,,,,,,,68,12,0.0,0.0,,3.0,1
841,,,1,9,,,,,,,1,0,,,,,1
842,,,1,5,,,,,,,1,0,,,,,1
845,,,1,11,,,,,,,1,0,,,,,1
847,,,1,6,,,,,,,85,47,0.0,0.0,,4.0,3
848,,,1,34,,,,,,,84,47,0.0,0.0,,4.0,3
849,,,1,7,,,,,,,1,0,,,,,1
850,,,1,22,,,,,,,86,33,0.0,0.0,,7.0,3
851,,,1,33,,,,,,,86,32,0.0,0.0,,4.0,3
852,,,1,21,,,,,,,1,0,,,,,1
856,,,1,13,17.0,,,,,,1,0,,,,,1
857,,,1,13,1.0,,,,,,1,0,,,,,1
861,,,1,7,4.0,,,,,,1,0,,,,,1
867,,,1,8,6.0,,,,,,1,0,,,,,1
868,,,1,10,22.0,,,,,,1,0,,,,,1
869,,,1,8,26.0,,,,,,1,0,,,,,1
870,,,1,5,9.0,,,,,,1,0,,,,,1
872,,,1,6,8.0,,,,,,1,0,,,,,1
882,,,1,6,11.0,,,,,,1,0,,,,,1
883,,,1,7,12.0,,,,,,1,0,,,,,1
886,,,1,8,4.0,,,,,,1,0,,,,,1
890,,,1,6,42.0,,,,,,1,0,,,,,1
892,,,1,5,1.0,,,,,,1,0,,,,,1
893,,,1,6,5.0,,,,,,1,0,,,,,1
905,,,1,6,9.0,,,,,,1,0,,,,,1
906,,,1,5,6.0,,,,,,1,0,,,,,1
907,,,1,8,36.0,,,,,,1,0,,,,,1
915,,,1,14,33.0,,,,,,1,0,,,,,1
916,,,1,10,66.0,,,,,,69,33,0.0,0.0,,8.0,3
918,,,1,8,21.0,,,,,,1,0,,,,,1
1949,,,1,7,,,,,,7.0,1,0,,,,,0
1951,,,1,6,,,,,,6.0,1,0,,,,,0
1952,,,1,5,,,,,,5.0,1,0,,,,,0
1953,,,4,9,,,,,,46696.0,1,0,,,,,0
1966,,,2,7,,,,,,7.0,1,0,,,,,0
1974,,,2,10,,,,,,10.0,1,0,,,,,0
1975,,,2,9,,,,,,9.0,1,0,,,,,0
1977,,,2,8,,,,,,8.0,1,0,,,,,0
1979,,,2,5,,,,,,5.0,1,0,,,,,0
1984,,,2,10,,,,,,10.0,1,0,,,,,0
1987,,,2,12,,,,,,12.0,1,0,,,,,0
1988,,,2,8,,,,,,8.0,1,0,,,,,0
1991,,,2,6,,,,,,6.0,1,0,,,,,0
1993,,,2,8,,,,,,8.0,1,0,,,,,0
1996,,,2,11,,,,,,11.0,1,0,,,,,0
1997,,,2,5,,,,,,5.0,1,0,,,,,0
1998,,,2,6,,,,,,6.0,1,0,,,,,0
1999,,,2,5,,,,,,5.0,1,0,,,,,0
2001,,,2,6,,,,,,6.0,1,0,,,,,0
2002,,,2,6,,,,,,6.0,1,0,,,,,0
2006,,,2,7,,,,,,7.0,1,0,,,,,0
2009,,,2,5,,,,,,5.0,1,0,,,,,0
