Unnamed: 0,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative,Cluster
2894,2050823.535,,1,,,101.0,2050823.535,,,500.0,27,9,0.0,0.0,,4.0,5
2895,3625.925628,,1,,,,3625.925628,1.0,,50.0,1,0,,,,,7
2896,213929.6121,,1,1.0,6.0,5.0,213929.6121,31.0,,4.0,1,0,,,,,7
2897,20305.18352,,1,2.0,2.0,1.0,20305.18352,,,,1,0,,,,,7
2898,20305.18352,,1,1.0,2.0,1.0,20305.18352,,,,1,0,,,,,7
2899,3625.925628,,1,,2.0,,3625.925628,1.0,,,57,22,0.0,0.0,,16.0,5
2900,90648.1407,,1,5.0,2.0,,90648.1407,25.0,,,69,18,0.0,0.0,,0.0,3
2901,20305.18352,,1,4.0,5.0,1.0,20305.18352,,,,1,0,,,,,7
2902,21755.55377,,1,1.0,,,21755.55377,6.0,,,1,0,,,,,7
2903,20305.18352,,1,1.0,,1.0,20305.18352,,,,1,0,,,,,7
2904,56564.4398,,1,1.0,,1.0,56564.4398,10.0,,,25,7,0.0,0.0,,8.0,5
2905,162441.4681,,1,1.0,,8.0,162441.4681,,,,1,0,,,,,7
2906,348.0888603,,1,2.0,,,,,,,29,13,0.0,0.0,,17.0,5
2907,20305.18352,,1,1.0,,1.0,20305.18352,,,,29,12,0.0,0.0,,9.0,5
2908,116.02962009999999,,1,1.0,,,,,,,1,0,,,,,7
2909,3625.925628,,1,1.0,,,3625.925628,1.0,,,1,0,,,,,7
2910,18129.62814,,3,5.0,,,18129.62814,5.0,,,1,0,,,,,7
2911,54388.88442,,1,1.0,,,54388.88442,15.0,,,1,0,,,,,7
2912,119655.5457,,1,1.0,,5.0,119655.5457,5.0,,,1,0,,,,,7
2913,3625.925628,,1,3.0,,,3625.925628,1.0,,,1,0,,,,,7
2914,7251.851256,,1,1.0,,,7251.851256,2.0,,,1,0,,,,,7
2915,286756328.3,,1,110.0,,13600.0,286756328.3,2925.0,,,67,14,0.0,0.0,,8.0,6
2916,3625.925628,,1,1.0,,,3625.925628,1.0,,,57,7,0.0,0.0,,1.0,5
2917,101525.9176,,1,2.0,,,101525.9176,,,,1,0,,,,,7
2918,3625.925628,,1,4.0,,,3625.925628,1.0,,,1,0,,,,,7
2919,15033087.65,,11,94.0,,,15033087.65,4146.0,,,85,39,0.0,0.0,,28.0,3
2920,7251.851256,,2,,,,7251.851256,2.0,,,21,6,0.0,0.0,,46.0,5
2921,1747696.1530000002,,31,,,,1747696.1530000002,482.0,,,20,6,0.0,0.0,,46.0,5
2922,1994259.095,,31,,,,1994259.095,550.0,,,20,6,0.0,0.0,,46.0,5
2923,1812962.814,,31,,,,1812962.814,500.0,,,20,6,0.0,0.0,,46.0,5
