Unnamed: 0,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative,Cluster
2905,2050823.535,,1,,,101.0,2050823.535,,,500.0,27,9,0.0,0.0,,4.0,1
2906,3625.925628,,1,,,,3625.925628,1.0,,50.0,1,0,,,,,1
2907,213929.6121,,1,1.0,6.0,5.0,213929.6121,31.0,,4.0,1,0,,,,,1
2908,20305.18352,,1,2.0,2.0,1.0,20305.18352,,,,1,0,,,,,1
2909,20305.18352,,1,1.0,2.0,1.0,20305.18352,,,,1,0,,,,,1
2910,3625.925628,,1,,2.0,,3625.925628,1.0,,,57,22,0.0,0.0,,16.0,3
2911,90648.1407,,1,5.0,2.0,,90648.1407,25.0,,,69,18,0.0,0.0,,0.0,3
2912,20305.18352,,1,4.0,5.0,1.0,20305.18352,,,,1,0,,,,,1
2913,21755.55377,,1,1.0,,,21755.55377,6.0,,,1,0,,,,,1
2914,20305.18352,,1,1.0,,1.0,20305.18352,,,,1,0,,,,,1
2915,56564.4398,,1,1.0,,1.0,56564.4398,10.0,,,25,7,0.0,0.0,,8.0,1
2916,162441.4681,,1,1.0,,8.0,162441.4681,,,,1,0,,,,,1
2917,348.0888603,,1,2.0,,,,,,,29,13,0.0,0.0,,17.0,3
2918,20305.18352,,1,1.0,,1.0,20305.18352,,,,29,12,0.0,0.0,,9.0,3
2919,116.02962009999999,,1,1.0,,,,,,,40,19,0.0,0.0,,2.0,3
2920,3625.925628,,1,1.0,,,3625.925628,1.0,,,1,0,,,,,1
2921,18129.62814,,3,5.0,,,18129.62814,5.0,,,1,0,,,,,1
2922,54388.88442,,1,1.0,,,54388.88442,15.0,,,1,0,,,,,1
2923,119655.5457,,1,1.0,,5.0,119655.5457,5.0,,,1,0,,,,,1
2924,3625.925628,,1,3.0,,,3625.925628,1.0,,,1,0,,,,,1
2925,7251.851256,,1,1.0,,,7251.851256,2.0,,,1,0,,,,,1
2926,286756328.3,,1,110.0,,13600.0,286756328.3,2925.0,,,67,14,0.0,0.0,,8.0,3
2927,3625.925628,,1,1.0,,,3625.925628,1.0,,,57,7,0.0,0.0,,1.0,3
2928,101525.9176,,1,2.0,,,101525.9176,,,,1,0,,,,,1
2929,3625.925628,,1,4.0,,,3625.925628,1.0,,,1,0,,,,,1
2930,15033087.65,,11,94.0,,,15033087.65,4146.0,,,85,39,0.0,0.0,,28.0,3
2931,7251.851256,,2,,,,7251.851256,2.0,,,21,6,0.0,0.0,,46.0,2
2932,1747696.1530000002,,31,,,,1747696.1530000002,482.0,,,20,6,0.0,0.0,,46.0,2
2933,1994259.095,,31,,,,1994259.095,550.0,,,20,6,0.0,0.0,,46.0,2
2934,1812962.814,,31,,,,1812962.814,500.0,,,20,6,0.0,0.0,,46.0,2
2935,5246714.384,,31,,,,5246714.384,1447.0,,,20,6,0.0,0.0,,46.0,2
2936,1798459.112,,31,,,,1798459.112,496.0,,,20,6,0.0,0.0,,46.0,2
