Unnamed: 0,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative,Cluster
803,,,1,13,,,,,,,1,0,,,,,2
804,,,1,13,,,,,,,1,0,,,,,2
806,,,1,21,,,,,,,1,0,,,,,2
807,,,1,32,,,,,,,1,0,,,,,2
809,,,1,12,,,,,,,1,0,,,,,2
813,,,1,6,,,,,,,1,0,,,,,2
816,,,1,8,,,,,,,1,0,,,,,2
819,,,1,6,,,,,,,1,0,,,,,2
822,,,1,9,,,,,,,1,0,,,,,2
824,,,1,5,,,,,,,1,0,,,,,2
825,,,1,11,,,,,,,1,0,,,,,2
826,,,1,5,,,,,,,1,0,,,,,2
829,,,1,5,,,,,,,1,0,,,,,2
831,,,1,29,,,,,,,1,0,,,,,2
834,,,1,5,,,,,,,1,0,,,,,2
837,,,1,18,,,,,,,1,0,,,,,2
838,,,1,8,,,,,,,1,0,,,,,2
839,,,1,116,,,,,,,68,13,0.0,0.0,,4.0,2
840,,,1,41,,,,,,,68,12,0.0,0.0,,3.0,2
841,,,1,9,,,,,,,1,0,,,,,2
842,,,1,5,,,,,,,1,0,,,,,2
845,,,1,11,,,,,,,1,0,,,,,2
847,,,1,6,,,,,,,85,47,0.0,0.0,,4.0,2
848,,,1,34,,,,,,,84,47,0.0,0.0,,4.0,2
849,,,1,7,,,,,,,1,0,,,,,2
850,,,1,22,,,,,,,86,33,0.0,0.0,,7.0,2
851,,,1,33,,,,,,,86,32,0.0,0.0,,4.0,2
852,,,1,21,,,,,,,1,0,,,,,2
856,,,1,13,17.0,,,,,,1,0,,,,,2
857,,,1,13,1.0,,,,,,1,0,,,,,2
861,,,1,7,4.0,,,,,,1,0,,,,,2
867,,,1,8,6.0,,,,,,1,0,,,,,2
868,,,1,10,22.0,,,,,,1,0,,,,,2
869,,,1,8,26.0,,,,,,1,0,,,,,2
870,,,1,5,9.0,,,,,,1,0,,,,,2
872,,,1,6,8.0,,,,,,1,0,,,,,2
882,,,1,6,11.0,,,,,,1,0,,,,,2
883,,,1,7,12.0,,,,,,1,0,,,,,2
886,,,1,8,4.0,,,,,,1,0,,,,,2
890,,,1,6,42.0,,,,,,1,0,,,,,2
892,,,1,5,1.0,,,,,,1,0,,,,,2
893,,,1,6,5.0,,,,,,1,0,,,,,2
905,,,1,6,9.0,,,,,,1,0,,,,,2
906,,,1,5,6.0,,,,,,1,0,,,,,2
907,,,1,8,36.0,,,,,,1,0,,,,,2
915,,,1,14,33.0,,,,,,1,0,,,,,2
916,,,1,10,66.0,,,,,,69,33,0.0,0.0,,8.0,2
918,,,1,8,21.0,,,,,,1,0,,,,,2
1949,,,1,7,,,,,,7.0,1,0,,,,,1
1951,,,1,6,,,,,,6.0,1,0,,,,,1
1952,,,1,5,,,,,,5.0,1,0,,,,,1
1953,,,4,9,,,,,,46696.0,1,0,,,,,1
1966,,,2,7,,,,,,7.0,1,0,,,,,1
1974,,,2,10,,,,,,10.0,1,0,,,,,1
1975,,,2,9,,,,,,9.0,1,0,,,,,1
1977,,,2,8,,,,,,8.0,1,0,,,,,1
1979,,,2,5,,,,,,5.0,1,0,,,,,1
1984,,,2,10,,,,,,10.0,1,0,,,,,1
1987,,,2,12,,,,,,12.0,1,0,,,,,1
1988,,,2,8,,,,,,8.0,1,0,,,,,1
1991,,,2,6,,,,,,6.0,1,0,,,,,1
1993,,,2,8,,,,,,8.0,1,0,,,,,1
1996,,,2,11,,,,,,11.0,1,0,,,,,1
1997,,,2,5,,,,,,5.0,1,0,,,,,1
1998,,,2,6,,,,,,6.0,1,0,,,,,1
1999,,,2,5,,,,,,5.0,1,0,,,,,1
2001,,,2,6,,,,,,6.0,1,0,,,,,1
2002,,,2,6,,,,,,6.0,1,0,,,,,1
2006,,,2,7,,,,,,7.0,1,0,,,,,1
2009,,,2,5,,,,,,5.0,1,0,,,,,1
2011,,,2,6,,,,,,1926.0,1,0,,,,,1
2013,,,2,5,,,,,,5.0,1,0,,,,,1
2014,,,2,5,,,,,,5.0,1,0,,,,,1
2015,,,2,6,,,,,,6.0,1,0,,,,,1
2016,,,2,9,,,,,,9.0,1,0,,,,,1
2017,,,2,19,,,,,,19.0,1,0,,,,,1
2018,,,2,25,,,,,,25.0,1,0,,,,,1
2019,,,2,14,,,,,,14.0,1,0,,,,,1
2020,,,2,5,,,,,,5.0,1,0,,,,,1
2021,,,2,7,,,,,,7.0,1,0,,,,,1
2022,,,2,5,,,,,,5.0,1,0,,,,,1
2023,,,2,6,,,,,,6.0,1,0,,,,,1
2028,,,2,15,,,,,,15.0,1,0,,,,,1
2029,,,2,8,,,,,,8.0,1,0,,,,,1
2030,,,2,6,,,,,,6.0,1,0,,,,,1
2031,,,2,6,,,,,,6.0,1,0,,,,,1
2032,,,2,5,,,,,,5.0,1,0,,,,,1
2033,,,2,7,,,,,,7.0,1,0,,,,,1
2034,,,2,5,,,,,,5.0,46,0,0.0,0.0,31.0,201.0,0
2036,,,2,5,,,,,,5.0,20,0,0.0,0.0,24.0,53.0,1
2058,,,1,13,3.0,6.0,,,,,1,0,,,,,1
2066,,,1,5,1.0,4.0,,,,,1,0,,,,,1
2067,,,1,5,1.0,1.0,,,,,1,0,,,,,1
2174,,,1,5,,641.0,,5916.0,,802784.0,1,0,,,,,3
2175,,,1,7,,361.0,,4925.0,,87673.0,1,0,,,,,1
2180,,,1,15,,46.0,,4606.0,,156000.0,1,0,,,,,1
2186,,,1,8,,187.0,,7483.0,,717080.0,1,0,,,,,3
2195,,,5,9,,5017.0,,2561.0,,20000.0,1,0,,,,,1
2202,,,5,12,,17903.0,,7739.0,,1723623.0,1,0,,,,,3
2220,,,2,10,,65371.0,,13781.0,,1502000.0,4,0,0.0,0.0,0.0,74.0,3
2236,,,5,7,,,,5609.0,,717080.0,1,0,,,,,3
2242,,,4,8,,,,34437.0,,772275.0,1,0,,,,,3
2245,,,4,10,,,,6760.0,,622348.0,1,0,,,,,3
2246,,,4,5,,,,5981.0,,20000.0,1,0,,,,,1
2247,,,4,10,,,,8072.0,,147400.0,1,0,,,,,1
2248,,,4,20,,,,31810.0,,759328.0,1,0,,,,,3
2249,,,1,7,,,,2710.0,,27100.0,1,0,,,,,1
2251,,,1,11,,,,796.0,,7960.0,1,0,,,,,1
2253,,,2,5,,,,5.0,,150.0,1,0,,,,,1
2254,,,4,14,,,,3587.0,,35870.0,1,0,,,,,1
2263,,,2,6,,,,763.0,,3815.0,1,0,,,,,1
2386,,,1,15,3.0,,,3.0,,,1,0,,,,,1
2405,,,1,32,13.0,126.0,,281.0,,,1,0,,,,,1
2406,,,1,60,12.0,58.0,,7.0,,,225,0,0.0,0.0,1.0,179.0,0
2407,,,1,11,11.0,160.0,,3789.0,,,334,0,0.0,0.0,1.0,48.0,0
2408,,,1,29,3.0,5.0,,200.0,,,272,0,0.0,0.0,2.0,48.0,0
