,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
798,,,1,13,,,,,,,1,0,,,,
799,,,1,13,,,,,,,1,0,,,,
801,,,1,21,,,,,,,1,0,,,,
802,,,1,32,,,,,,,1,0,,,,
804,,,1,12,,,,,,,1,0,,,,
808,,,1,6,,,,,,,1,0,,,,
811,,,1,8,,,,,,,1,0,,,,
814,,,1,6,,,,,,,1,0,,,,
817,,,1,9,,,,,,,1,0,,,,
819,,,1,5,,,,,,,1,0,,,,
820,,,1,11,,,,,,,1,0,,,,
821,,,1,5,,,,,,,1,0,,,,
824,,,1,5,,,,,,,1,0,,,,
826,,,1,29,,,,,,,1,0,,,,
829,,,1,5,,,,,,,1,0,,,,
832,,,1,18,,,,,,,1,0,,,,
833,,,1,8,,,,,,,1,0,,,,
834,,,1,116,,,,,,,68,13,0,0,,4
835,,,1,41,,,,,,,68,12,0,0,,3
836,,,1,9,,,,,,,1,0,,,,
837,,,1,5,,,,,,,1,0,,,,
840,,,1,11,,,,,,,1,0,,,,
842,,,1,6,,,,,,,85,47,0,0,,4
843,,,1,34,,,,,,,84,47,0,0,,4
844,,,1,7,,,,,,,1,0,,,,
845,,,1,22,,,,,,,87,32,0,0,,4
846,,,1,21,,,,,,,1,0,,,,
850,,,1,13,17,,,,,,1,0,,,,
851,,,1,13,1,,,,,,1,0,,,,
855,,,1,7,4,,,,,,1,0,,,,
861,,,1,8,6,,,,,,1,0,,,,
862,,,1,10,22,,,,,,1,0,,,,
863,,,1,8,26,,,,,,1,0,,,,
864,,,1,5,9,,,,,,1,0,,,,
866,,,1,6,8,,,,,,1,0,,,,
876,,,1,6,11,,,,,,1,0,,,,
877,,,1,7,12,,,,,,1,0,,,,
880,,,1,8,4,,,,,,1,0,,,,
884,,,1,6,42,,,,,,1,0,,,,
886,,,1,5,1,,,,,,1,0,,,,
887,,,1,6,5,,,,,,1,0,,,,
899,,,1,6,9,,,,,,1,0,,,,
900,,,1,5,6,,,,,,1,0,,,,
901,,,1,8,36,,,,,,1,0,,,,
909,,,1,14,33,,,,,,1,0,,,,
910,,,1,10,66,,,,,,69,33,0,0,,8
912,,,1,8,21,,,,,,1,0,,,,
1940,,,1,7,,,,,,7,1,0,,,,
1942,,,1,6,,,,,,6,1,0,,,,
1943,,,1,5,,,,,,5,1,0,,,,
1944,,,4,9,,,,,,46696,1,0,,,,
1957,,,2,7,,,,,,7,1,0,,,,
1965,,,2,10,,,,,,10,1,0,,,,
1966,,,2,9,,,,,,9,1,0,,,,
1968,,,2,8,,,,,,8,1,0,,,,
1970,,,2,5,,,,,,5,1,0,,,,
1975,,,2,10,,,,,,10,1,0,,,,
1978,,,2,12,,,,,,12,1,0,,,,
1979,,,2,8,,,,,,8,1,0,,,,
1982,,,2,6,,,,,,6,1,0,,,,
1984,,,2,8,,,,,,8,1,0,,,,
1987,,,2,11,,,,,,11,1,0,,,,
1988,,,2,5,,,,,,5,1,0,,,,
1989,,,2,6,,,,,,6,1,0,,,,
1990,,,2,5,,,,,,5,1,0,,,,
1992,,,2,6,,,,,,6,1,0,,,,
1993,,,2,6,,,,,,6,1,0,,,,
1997,,,2,7,,,,,,7,1,0,,,,
2000,,,2,5,,,,,,5,1,0,,,,
2002,,,2,6,,,,,,1926,1,0,,,,
2004,,,2,5,,,,,,5,1,0,,,,
2005,,,2,5,,,,,,5,1,0,,,,
2006,,,2,6,,,,,,6,1,0,,,,
2007,,,2,9,,,,,,9,1,0,,,,
2008,,,2,19,,,,,,19,1,0,,,,
2009,,,2,25,,,,,,25,1,0,,,,
2010,,,2,14,,,,,,14,1,0,,,,
2011,,,2,5,,,,,,5,1,0,,,,
2012,,,2,7,,,,,,7,1,0,,,,
2013,,,2,5,,,,,,5,1,0,,,,
2014,,,2,6,,,,,,6,1,0,,,,
2019,,,2,15,,,,,,15,1,0,,,,
2020,,,2,8,,,,,,8,1,0,,,,
2021,,,2,6,,,,,,6,1,0,,,,
2022,,,2,6,,,,,,6,1,0,,,,
2023,,,2,5,,,,,,5,1,0,,,,
2024,,,2,7,,,,,,7,1,0,,,,
2025,,,2,5,,,,,,5,37,0,0,0,31,201
2027,,,2,5,,,,,,5,19,0,0,0,24,53
2049,,,1,13,3,6,,,,,1,0,,,,
2057,,,1,5,1,4,,,,,1,0,,,,
2058,,,1,5,1,1,,,,,1,0,,,,
2165,,,1,5,,641,,5916,,802784,1,0,,,,
2166,,,1,7,,361,,4925,,87673,1,0,,,,
2171,,,1,15,,46,,4606,,156000,1,0,,,,
2177,,,1,8,,187,,7483,,717080,1,0,,,,
2186,,,5,9,,5017,,2561,,20000,1,0,,,,
2193,,,5,12,,17903,,7739,,1723623,1,0,,,,
2211,,,2,10,,65371,,13781,,1502000,4,0,0,0,0,74
2227,,,5,7,,,,5609,,717080,1,0,,,,
2233,,,4,8,,,,34437,,772275,1,0,,,,
2236,,,4,10,,,,6760,,622348,1,0,,,,
2237,,,4,5,,,,5981,,20000,1,0,,,,
2238,,,4,10,,,,8072,,147400,1,0,,,,
2239,,,4,20,,,,31810,,759328,1,0,,,,
2240,,,1,7,,,,2710,,27100,1,0,,,,
2242,,,1,11,,,,796,,7960,1,0,,,,
2244,,,2,5,,,,5,,150,1,0,,,,
2245,,,4,14,,,,3587,,35870,1,0,,,,
2254,,,2,6,,,,763,,3815,1,0,,,,
2375,,,1,15,3,,,3,,,1,0,,,,
2394,,,1,32,13,126,,281,,,1,0,,,,
2395,,,1,60,12,58,,7,,,12,0,0,0,4,198
2396,,,1,11,11,160,,3789,,,302,0,0,0,2,48
2397,,,1,29,3,5,,200,,,57,0,0,0,2,6
2398,,,1,13,28,545,,2152,,,268,0,0,0,1,48
2399,,,1,16,1,4,,957,,,293,0,0,0,2,48
2400,,,1,12,16,176,,484,,,4,0,0,0,5,198
2403,,,1,7,1,,,20,,,52,0,0,0,0,24
2408,,,1,12,20,178,,1930,,,6,0,0,0,,114
2441,,,1,5,,1,,11,,,1,0,,,,
2445,,,1,16,,2,,5,,,65,0,0,0,2,6
2447,,,1,6,,4,,5,,,2,0,0,0,,167
2451,,,1,6,,74,,264,,,1,0,,,,
2900,90648.1407,,1,5,2,,90648.1407,25,,,69,18,0,0,,0
2910,18129.62814,,3,5,,,18129.62814,5,,,1,0,,,,
2915,286756328.3,,1,110,,13600,286756328.3,2925,,,67,14,0,0,,8
2919,15033087.65,,11,94,,,15033087.65,4146,,,85,39,0,0,,28
