,State,District,Block,latLong
448, Tamil Nadu,PERAMBALUR,VEPPANTHATTAI,"[11.3379487991333, 78.82061004638672]"
460, Tamil Nadu,TRICHIRAPPALLI,SRIRANGAM,"[10.86754035949707, 78.69487762451172]"
465, Tamil Nadu,KARUR,ARAVAKURUCHI,"[10.774115562438965, 77.90703582763672]"
467, Tamil Nadu,VILLUPPURAM,TINDIVANAM,"[12.25258, 79.41681]"
473, Tamil Nadu,VELLORE,ARAKKONAM,"[12.92147, 79.13156]"
487, Tamil Nadu,KANNIYAKUMARI,VILAVANKODE,"[8.322728157043457, 77.2176284790039]"
492, Tamil Nadu,TRICHIRAPPALLI,MANAPPARAI,"[10.800823211669922, 78.6899185180664]"
493, Tamil Nadu,KANCHIPURAM,SRIPERUMANDUR,"[12.994231224060059, 80.01779174804688]"
495, Tamil Nadu,VIRUTHUNAGAR,,"[9.59375, 77.9575]"
496, Tamil Nadu,ERODE,,"[11.33482, 77.72728]"
497, Tamil Nadu,THANJAVUR,,"[10.7836, 79.1336]"
498, Tamil Nadu,DINDUGAL,,"[10.36326, 77.98249]"
499, Tamil Nadu,TRICHIRAPPALLI,,"[10.80082, 78.68992]"
503, Tamil Nadu,TIRUNELVELI,,"[8.72879, 77.70458]"
504, Tamil Nadu,RAMANATHAPURAM,,"[9.35886, 78.83747]"
505, Tamil Nadu,NILGIRI,,"[11.45572, 76.64025]"
506, Tamil Nadu,KANNIYAKUMARI,,"[8.0933, 77.54909]"
507, Tamil Nadu,NAGAPPATTINAM,,"[10.77318, 79.84145]"
511, Tamil Nadu,THIRUVARUR,,"[10.76508, 79.63356]"
513, Tamil Nadu,CUDDALORE,,"[11.75664, 79.7629]"
517, Tamil Nadu,PERAMBALUR,,"[11.2341, 78.8805]"
520, Tamil Nadu,DHARMAPURI,,"[12.1257, 78.1543]"
523, Tamil Nadu,SIVAGANGAI,,"[9.85498, 78.5005]"
524, Tamil Nadu,SALEM,,"[11.65212, 78.15798]"
535, Tamil Nadu,THOOTHUKUDI,,"[8.79299, 78.14242]"
537, Tamil Nadu,THENI,,"[10.00657, 77.47932]"
543, Tamil Nadu,KARUR,,"[10.95958, 78.08195]"
548, Tamil Nadu,COIMBATORE,,"[11.01601, 76.97031]"
550, Tamil Nadu,TIRUVALLUR,,"[13.14292, 79.90753]"
560, Tamil Nadu,,,"[11.01521, 78.407]"
583, Tamil Nadu,NAMAKKAL,,"[11.21878, 78.16798]"
641, Tamil Nadu,PUDUKKOTTAI,,"[10.3829, 78.8155]"
653, Tamil Nadu,VELLORE,,"[12.92147, 79.13156]"
722, Tamil Nadu,KRISHNAGIRI,,"[12.50796, 78.22255]"
845, Tamil Nadu,KANCHIPURAM,,"[12.83614, 79.70665]"
900, Tamil Nadu,THIRUVANNAMALAI,,"[12.25758, 79.08786]"
915, Tamil Nadu,MADURAI,,"[9.92012882232666, 78.11087799072266]"
957, Tamil Nadu,CHENNAI,,"[13.07209, 80.20186]"
1019, Tamil Nadu,VILLUPPURAM,,"[11.94474, 79.47347]"
2486, Tamil Nadu,TIRUNELVELI,TENKASI,"[8.9471, 77.32165]"
2488, Tamil Nadu,KRISHNAGIRI,THENKANIKOTTAI,"[12.375953674316406, 77.77801513671875]"
2490, Tamil Nadu,TIRUNELVELI,SANKARANKOVIL,"[8.72879, 77.70458]"
2493, Tamil Nadu,THIRUVANNAMALAI,POLUR,"[12.51158, 79.13013]"
2496, Tamil Nadu,PUDUKKOTTAI,ARANTHANGI,"[10.172329902648926, 78.9964599609375]"
2497, Tamil Nadu,DINDUGAL,ODDANCHATRAM,"[10.485559463500977, 77.7464599609375]"
2504, Tamil Nadu,THOOTHUKUDI,SRIVAIKUNDAM,"[8.62922, 77.91296]"
2506, Tamil Nadu,KRISHNAGIRI,UTHANGARAI,"[12.31106, 78.38567]"
2507, Tamil Nadu,TIRUNELVELI,PALAYAMKOTTAI,"[8.71660041809082, 77.7332992553711]"
2510, Tamil Nadu,TIRUNELVELI,VEERAKERALAMPUDUR,"[8.72879, 77.70458]"
2514, Tamil Nadu,DINDUGAL,NILAKKOTTAI,"[10.164942741394043, 77.85311889648438]"
2518, Tamil Nadu,SIVAGANGAI,MANAMADURAI,"[9.68319, 78.4538]"
