,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
784,,,1,14,,,,,,,1,0,,,,
785,,,1,24,,,,,,,1,0,,,,
786,,,1,18,,,,,,,1,0,,,,
787,,,1,8,,,,,,,1,0,,,,
788,,,1,6,,,,,,,1,0,,,,
789,,,1,12,,,,,,,1,0,,,,
790,,,1,7,,,,,,,1,0,,,,
791,,,1,7,,,,,,,1,0,,,,
792,,,1,5,,,,,,,1,0,,,,
793,,,1,5,,,,,,,1,0,,,,
795,,,1,5,,,,,,,1,0,,,,
796,,,1,8,,,,,,,1,0,,,,
800,,,1,13,,,,,,,1,0,,,,
803,,,1,9,,,,,,,1,0,,,,
806,,,1,6,,,,,,,1,0,,,,
807,,,1,5,,,,,,,1,0,,,,
811,,,1,14,,,,,,,1,0,,,,
812,,,1,5,,,,,,,1,0,,,,
813,,,1,5,,,,,,,55,27,0,0,,7
814,,,1,5,,,,,,,1,0,,,,
817,,,1,18,,,,,,,1,0,,,,
818,,,1,8,,,,,,,1,0,,,,
819,,,1,116,,,,,,,68,13,0,0,,4
820,,,1,41,,,,,,,68,12,0,0,,3
821,,,1,9,,,,,,,1,0,,,,
822,,,1,5,,,,,,,1,0,,,,
825,,,1,11,,,,,,,1,0,,,,
827,,,1,6,,,,,,,85,47,0,0,,4
828,,,1,34,,,,,,,84,47,0,0,,4
829,,,1,7,,,,,,,1,0,,,,
830,,,1,22,,,,,,,87,32,0,0,,4
831,,,1,21,,,,,,,1,0,,,,
835,,,1,13,17,,,,,,1,0,,,,
836,,,1,13,1,,,,,,1,0,,,,
840,,,1,7,4,,,,,,1,0,,,,
846,,,1,8,6,,,,,,1,0,,,,
847,,,1,10,22,,,,,,1,0,,,,
848,,,1,8,26,,,,,,1,0,,,,
849,,,1,5,9,,,,,,1,0,,,,
851,,,1,6,8,,,,,,1,0,,,,
861,,,1,6,11,,,,,,1,0,,,,
862,,,1,7,12,,,,,,1,0,,,,
865,,,1,8,4,,,,,,1,0,,,,
869,,,1,5,15,,,,,,1,0,,,,
872,,,1,7,15,,,,,,1,0,,,,
874,,,1,8,7,,,,,,56,9,0,0,,1
883,,,1,6,9,,,,,,1,0,,,,
884,,,1,5,6,,,,,,1,0,,,,
885,,,1,8,36,,,,,,1,0,,,,
893,,,1,14,33,,,,,,1,0,,,,
894,,,1,10,66,,,,,,69,33,0,0,,8
896,,,1,8,21,,,,,,1,0,,,,
1853,,,1,7,,,,,,7,1,0,,,,
