,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
1855,,,1,6,,,,,,6,1,0,,,,
1856,,,1,5,,,,,,5,1,0,,,,
1857,,,4,9,,,,,,46696,1,0,,,,
1870,,,2,7,,,,,,7,1,0,,,,
1878,,,2,10,,,,,,10,1,0,,,,
1879,,,2,9,,,,,,9,1,0,,,,
1881,,,2,8,,,,,,8,1,0,,,,
1883,,,2,5,,,,,,5,1,0,,,,
1888,,,2,10,,,,,,10,1,0,,,,
1891,,,2,12,,,,,,12,1,0,,,,
1892,,,2,8,,,,,,8,1,0,,,,
1895,,,2,6,,,,,,6,1,0,,,,
1897,,,2,8,,,,,,8,1,0,,,,
1900,,,2,11,,,,,,11,1,0,,,,
1901,,,2,5,,,,,,5,1,0,,,,
1902,,,2,6,,,,,,6,1,0,,,,
1903,,,2,5,,,,,,5,1,0,,,,
1905,,,2,6,,,,,,6,1,0,,,,
1906,,,2,6,,,,,,6,1,0,,,,
1910,,,2,7,,,,,,7,1,0,,,,
1913,,,2,5,,,,,,5,1,0,,,,
1915,,,2,6,,,,,,1926,1,0,,,,
1917,,,2,5,,,,,,5,1,0,,,,
1918,,,2,5,,,,,,5,1,0,,,,
1919,,,2,6,,,,,,6,1,0,,,,
1920,,,2,9,,,,,,9,1,0,,,,
1921,,,2,19,,,,,,19,1,0,,,,
1922,,,2,25,,,,,,25,1,0,,,,
1923,,,2,14,,,,,,14,1,0,,,,
1924,,,2,5,,,,,,5,1,0,,,,
1925,,,2,7,,,,,,7,1,0,,,,
1926,,,2,5,,,,,,5,1,0,,,,
1927,,,2,6,,,,,,6,1,0,,,,
1932,,,2,15,,,,,,15,1,0,,,,
1933,,,2,8,,,,,,8,1,0,,,,
1934,,,2,6,,,,,,6,1,0,,,,
1935,,,2,6,,,,,,6,1,0,,,,
1936,,,2,5,,,,,,5,1,0,,,,
1937,,,2,7,,,,,,7,1,0,,,,
1938,,,2,5,,,,,,5,30,0,0,0,31,161
1940,,,2,5,,,,,,5,1,0,,0,25,
1945,,,1,12,,189,,,,206432,1,0,,,,
1955,,,1,5,,173,,,,970030,1,0,,,,
1962,,,1,5,2,4,,,,,1,0,,,,
1963,,,1,5,1,1,,,,,1,0,,,,
1968,,,1,5,1,4,,,,,1,0,,,,
1969,,,1,5,1,1,,,,,1,0,,,,
2072,,,1,5,,641,,5916,,802784,1,0,,,,
2073,,,1,7,,361,,4925,,87673,1,0,,,,
2078,,,1,15,,46,,4606,,156000,1,0,,,,
2084,,,1,8,,187,,7483,,717080,1,0,,,,
2093,,,5,9,,5017,,2561,,20000,1,0,,,,
2100,,,5,12,,17903,,7739,,1723623,1,0,,,,
2127,,,5,7,,,,5609,,717080,1,0,,,,
2133,,,4,8,,,,34437,,772275,1,0,,,,
2136,,,4,10,,,,6760,,622348,1,0,,,,
2137,,,4,5,,,,5981,,20000,1,0,,,,
2138,,,4,10,,,,8072,,147400,1,0,,,,
2139,,,4,20,,,,31810,,759328,1,0,,,,
2140,,,1,7,,,,2710,,27100,1,0,,,,
2142,,,1,11,,,,796,,7960,1,0,,,,
2144,,,2,5,,,,5,,150,1,0,,,,
2145,,,4,14,,,,3587,,35870,1,0,,,,
2154,,,2,6,,,,763,,3815,1,0,,,,
2265,,,1,15,3,,,3,,,1,0,,,,
2284,,,1,32,13,126,,281,,,1,0,,,,
2285,,,1,60,12,58,,7,,,11,0,0,0,4,198
2286,,,1,11,11,160,,3789,,,11,0,10,,4,14
2287,,,1,29,3,5,,200,,,22,0,0,6.5,2,6
2288,,,1,13,28,545,,2152,,,219,0,0,31,1,13
2289,,,1,16,1,4,,957,,,11,0,10,8,2,179
2290,,,1,12,16,176,,484,,,1,0,,,6,
2292,,,1,7,1,,,20,,,7,0,0,0,16,155
2296,,,1,12,20,178,,1930,,,1,0,,,,
2328,,,1,5,,1,,11,,,1,0,,,,
2332,,,1,16,,2,,5,,,42,0,0,0,3,6
2334,,,1,6,,4,,5,,,4,0,0,0,52,157
2784,90648.1407,,1,5,2,,90648.1407,25,,,69,18,0,0,,0
2794,18129.62814,,3,5,,,18129.62814,5,,,1,0,,,,
2799,286756328.3,,1,110,,13600,286756328.3,2925,,,67,14,0,0,,8
2803,15033087.65,,11,94,,,15033087.65,4146,,,85,39,0,0,,28
