,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
2993,689651.0545,,1,,,12,689651.0545,123,,,1,0,,,,
2994,577247.36,,1,,,7,577247.36,120,,,1,0,,,,
2995,633811.7998,,1,,,3,633811.7998,158,,,1,0,,,,
2996,134159.2482,,1,,,5,134159.2482,9,,,1,0,,,,
2997,125457.0267,,1,,,6,125457.0267,1,,,1,0,,,,
2998,180571.0963,,1,,,3,180571.0963,33,,,1,0,,,,
2999,68167.40181,,1,,,3,68167.40181,2,,,1,0,,,,
3000,135609.6185,,1,,,4,135609.6185,15,,,1,0,,,,
3001,68167.40181,,1,,,3,68167.40181,2,,,1,0,,,,
3002,153014.0615,,1,,,7,153014.0615,3,,,1,0,,,,
3003,191448.8732,,1,,,3,191448.8732,36,,,1,0,,,,
3004,1121861.389,,1,,,29,1121861.389,147,,,1,0,,,,
3005,84846.6597,,1,,,4,84846.6597,1,,,1,0,,,,
3006,213929.6121,,1,,,5,213929.6121,31,,,1,0,,,,
3007,591025.8774,,1,,,25,591025.8774,23,,,1,0,,,,
3008,165342.2086,,1,,,6,165342.2086,12,,,1,0,,,,
3009,99350.36221,,1,,,4,99350.36221,5,,,1,0,,,,
3010,469919.9614,,1,,,16,469919.9614,40,,,1,0,,,,
3011,681674.0181,,1,,,20,681674.0181,76,,,1,0,,,,
3012,226982.9443,,1,,,11,226982.9443,1,,,1,0,,,,
3013,254539.9791,,1,,,12,254539.9791,3,,,1,0,,,,
3014,346638.49,,1,,,11,346638.49,34,,,1,0,,,,
3015,1301707.3,,1,,,55,1301707.3,51,,,86,21,0,0,,0
3016,163891.8384,,1,,,7,163891.8384,6,,,1,0,,,,
3017,2166127.97,,1,,,74,2166127.97,183,,,1,0,,,,
3018,75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
3019,2604864.971,,1,,,69,2604864.971,332,,,1,0,,,,
3020,139960.7292,,1,,,6,139960.7292,5,,,1,0,,,,
3021,2282157.59,,1,,,69,2282157.59,243,,,87,21,0,0,,0
3022,2543949.421,,1,,,76,2543949.421,276,,,1,0,,,,
3023,289348.8651,,1,,,8,289348.8651,35,,,1,0,,,,
3024,357516.2669,,1,,,11,357516.2669,37,,,1,0,,,,
3025,559117.7319,,1,,,27,559117.7319,3,,,1,0,,,,
3026,3027647.899,,1,,,10,3027647.899,779,,,1,0,,,,
3027,11103309.46,,1,,,297,11103309.46,1399,,,85,21,0,0,,4
3028,3189364.182,,1,,,66,3189364.182,510,,,1,0,,,,
3029,424233.2985,,1,,,20,424233.2985,5,,,1,0,,,,
3030,79045.17869,,1,,,3,79045.17869,5,,,1,0,,,,
3031,1829642.072,,1,,,41,1829642.072,275,,,1,0,,,,
3032,1296631.005,,1,,,46,1296631.005,100,,,1,0,,,,
3033,104426.6581,,1,,,3,104426.6581,12,,,1,0,,,,
3034,1394530.997,,1,,,36,1394530.997,183,,,1,0,,,,
3035,2806466.436,,1,,,95,2806466.436,242,,,1,0,,,,
3036,1551170.984,,1,,,48,1551170.984,159,,,1,0,,,,
3037,462668.1101,,1,,,16,462668.1101,38,,,86,21,0,0,,3
3038,1089953.244,,1,,,26,1089953.244,155,,,1,0,,,,
3039,918809.5542,,1,,,19,918809.5542,147,,,1,0,,,,
3040,375645.8951,,1,,,11,375645.8951,42,,,1,0,,,,
3041,236410.351,,1,,,7,236410.351,26,,,1,0,,,,
3042,1264722.859,,1,,,48,1264722.859,80,,,1,0,,,,
3043,166067.3938,,1,,,8,166067.3938,1,,,1,0,,,,
3044,100800.7325,,1,,,3,100800.7325,11,,,1,0,,,,
3045,12993141.9,,1,,,124,12993141.9,2889,,,1,0,,,,
3046,440187.3713,,1,,,19,440187.3713,15,,,1,0,,,,
3047,326333.3065,,1,,,15,326333.3065,6,,,1,0,,,,
3048,431485.1497,,1,,,10,431485.1497,63,,,1,0,,,,
3049,3916724.863,,1,,,37,3916724.863,873,,,1,0,,,,
3050,2084907.236,,1,,,60,2084907.236,239,,,1,0,,,,
3051,206677.7608,,1,,,10,206677.7608,1,,,1,0,,,,
3052,102976.2878,,1,,,4,102976.2878,6,,,1,0,,,,
3053,102976.2878,,1,,,4,102976.2878,6,,,1,0,,,,
3054,5040036.623,,1,,,225,5040036.623,130,,,1,0,,,,
3055,819459.1919,,1,,,30,819459.1919,58,,,1,0,,,,
3056,1520713.208,,1,,,49,1520713.208,145,,,1,0,,,,
3057,588125.1369,,1,,,22,588125.1369,39,,,1,0,,,,
3058,1360447.296,,1,,,57,1360447.296,56,,,1,0,,,,
3059,1356821.37,,1,,,37,1356821.37,167,,,1,0,,,,
3060,1368424.332,,1,,,44,1368424.332,131,,,1,0,,,,
3061,2997190.124,,1,,,131,2997190.124,93,,,1,0,,,,
3062,783199.9357,,1,,,10,783199.9357,160,,,1,0,,,,
3063,292974.7908,,1,,,13,292974.7908,8,,,1,0,,,,
3064,389424.4125,,1,,,19,389424.4125,1,,,1,0,,,,
3065,1198731.013,,1,,,56,1198731.013,17,,,1,0,,,,
3066,403928.115,,1,,,19,403928.115,5,,,1,0,,,,
3067,168968.1343,,1,,,6,168968.1343,13,,,1,0,,,,
3068,169693.3194,,1,,,8,169693.3194,2,,,1,0,,,,
3069,277745.9031,,1,,,11,277745.9031,15,,,1,0,,,,
3070,308928.8635,,1,,,12,308928.8635,18,,,1,0,,,,
3071,362592.5628,,1,,,10,362592.5628,44,,,1,0,,,,
3072,174044.4301,,1,,,5,174044.4301,20,,,1,0,,,,
3073,79045.17869,,1,,,3,79045.17869,5,,,1,0,,,,
3074,163166.6533,,1,,,5,163166.6533,17,,,1,0,,,,
3075,1031938.434,,1,,,16,1031938.434,195,,,1,0,,,,
3076,210303.6864,,1,,,5,210303.6864,30,,,1,0,,,,
3077,190723.688,,1,,,6,190723.688,19,,,1,0,,,,
3078,367668.8587,,1,,,9,367668.8587,51,,,1,0,,,,
3079,367668.8587,,1,,,9,367668.8587,51,,,1,0,,,,
3080,161716.283,,1,,,6,161716.283,11,,,1,0,,,,
3081,1110258.427,,1,,,47,1110258.427,43,,,1,0,,,,
3082,642514.0213,,1,,,17,642514.0213,82,,,1,0,,,,
3083,1871702.809,,1,,,82,1871702.809,57,,,1,0,,,,
3084,226982.9443,,1,,,11,226982.9443,1,,,1,0,,,,
3085,116029.6201,,1,,,5,116029.6201,4,,,1,0,,,,
3086,431485.1497,,1,,,5,431485.1497,91,,,1,0,,,,
3087,738963.643,,1,,,23,738963.643,75,,,1,0,,,,
3088,213204.4269,,1,,,8,213204.4269,14,,,1,0,,,,
3089,532285.8822,,1,,,23,532285.8822,18,,,1,0,,,,
3090,1025411.768,,1,,,28,1025411.768,126,,,1,0,,,,
3091,1025411.768,,1,,,28,1025411.768,126,,,1,0,,,,
3092,1498232.47,,1,,,62,1498232.47,66,,,1,0,,,,
3093,265417.756,,1,,,7,265417.756,34,,,1,0,,,,
3094,342287.3793,,1,,,4,342287.3793,72,,,1,0,,,,
3095,308928.8635,,1,,,12,308928.8635,18,,,1,0,,,,
3096,1735368.006,,1,,,46,1735368.006,221,,,1,0,,,,
3097,312983373.6,,1,,,13402,312983373.6,11267,,,1,0,,,,
3098,340837.009,,1,,,10,340837.009,38,,,1,0,,,,
3099,383622.9315,,1,,,8,383622.9315,61,,,1,0,,,,
3100,986251.7708,,1,,,35,986251.7708,76,,,75,17,0,0,,1
3101,100800.7325,,1,,,3,100800.7325,11,,,76,17,0,0,,1
3102,424233.2985,,1,,,15,424233.2985,33,,,1,0,,,,
3103,383622.9315,,1,,,8,383622.9315,61,,,1,0,,,,
3104,226982.9443,,1,,,11,226982.9443,1,,,1,0,,,,
3105,394500.7083,,1,,,18,394500.7083,8,,,1,0,,,,
3106,344462.9347,,1,,,5,344462.9347,67,,,1,0,,,,
3107,751291.7901,,1,,,22,751291.7901,84,,,1,0,,,,
3108,8473063.008,,1,,,353,8473063.008,360,,,1,0,,,,
3109,717208.0892,,1,,,8,717208.0892,153,,,1,0,,,,
3110,211754.0567,,1,,,9,211754.0567,8,,,1,0,,,,
3111,160265.9128,,1,,,7,160265.9128,5,,,1,0,,,,
3112,315455.5296,,1,,,10,315455.5296,31,,,1,0,,,,
3113,160265.9128,,1,,,7,160265.9128,5,,,1,0,,,,
3114,461217.7399,,1,,,12,461217.7399,60,,,1,0,,,,
3115,99350.36221,,1,,,4,99350.36221,5,,,1,0,,,,
3116,4767367.016,,1,,,113,4767367.016,682,,,1,0,,,,
3117,96459774.3,,1,,,3673,96459774.3,6034,,,1,0,,,,
3118,82671.10432,,1,,,3,82671.10432,6,,,1,0,,,,
3119,75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
3120,95724.43658,,1,,,4,95724.43658,4,,,1,0,,,,
3121,75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
3122,123281.4714,,1,,,5,123281.4714,6,,,1,0,,,,
3123,75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
3124,64541.47618,,1,,,3,64541.47618,1,,,1,0,,,,
3125,677322.9073,,1,,,28,677322.9073,30,,,1,0,,,,
3126,682399.2032,,1,,,32,682399.2032,9,,,1,0,,,,
3127,64541.47618,,1,,,3,64541.47618,1,,,1,0,,,,
3128,82671.10432,,1,,,3,82671.10432,6,,,1,0,,,,
3129,240761.4617,,1,,,9,240761.4617,16,,,1,0,,,,
3130,153014.0615,,1,,,7,153014.0615,3,,,1,0,,,,
3131,471370.3317,,1,,,5,471370.3317,102,,,1,0,,,,
3132,184197.0219,,1,,,8,184197.0219,6,,,1,0,,,,
3133,424958.4836,,1,,,17,424958.4836,22,,,1,0,,,,
3134,1000755.473,,1,,,40,1000755.473,52,,,1,0,,,,
3135,620033.2824,,1,,,25,620033.2824,31,,,1,0,,,,
3136,110228.1391,,1,,,4,110228.1391,8,,,1,0,,,,
3137,223357.0187,,1,,,6,223357.0187,28,,,37,12,0,0,,26
3138,294425.161,,1,,,12,294425.161,14,,,1,0,,,,
3139,200151.0947,,1,,,7,200151.0947,16,,,1,0,,,,
3140,287173.3097,,1,,,12,287173.3097,12,,,1,0,,,,
3141,3150929.371,,1,,,75,3150929.371,449,,,1,0,,,,
3142,2137120.565,,1,,,29,2137120.565,427,,,1,0,,,,
3143,71793.32744,,1,,,3,71793.32744,3,,,1,0,,,,
3144,146487.3954,,1,,,4,146487.3954,18,,,1,0,,,,
3145,756368.086,,1,,,31,756368.086,35,,,1,0,,,,
3146,1071823.616,,1,,,41,1071823.616,66,,,1,0,,,,
3147,119655.5457,,1,,,5,119655.5457,5,,,1,0,,,,
3148,84846.6597,,1,,,4,84846.6597,1,,,1,0,,,,
3149,189998.5029,,1,,,9,189998.5029,2,,,1,0,,,,
3150,166792.5789,,1,,,5,166792.5789,18,,,1,0,,,,
3151,68167.40181,,1,,,3,68167.40181,2,,,1,0,,,,
3152,126907.397,,1,,,5,126907.397,7,,,1,0,,,,
3153,121105.916,,1,,,4,121105.916,11,,,1,0,,,,
3154,99350.36221,,1,,,4,99350.36221,5,,,1,0,,,,
3155,75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
3156,314730.3445,,1,,,3,314730.3445,70,,,1,0,,,,
3157,382897.7463,,1,,,11,382897.7463,44,,,1,0,,,,
3158,152288.8764,,1,,,5,152288.8764,14,,,1,0,,,,
3159,380722.1909,,1,,,15,380722.1909,21,,,1,0,,,,
