economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
165342.2086,,1,,,6,165342.2086,12,,,1,0,,,,
99350.36221,,1,,,4,99350.36221,5,,,1,0,,,,
469919.9614,,1,,,16,469919.9614,40,,,1,0,,,,
681674.0181,,1,,,20,681674.0181,76,,,1,0,,,,
226982.9443,,1,,,11,226982.9443,1,,,1,0,,,,
254539.9791,,1,,,12,254539.9791,3,,,1,0,,,,
346638.49,,1,,,11,346638.49,34,,,1,0,,,,
1301707.3,,1,,,55,1301707.3,51,,,1,0,,,,
1249493.971,,1,,,41,1249493.971,115,,,1,0,,,,
3230699.735,,1,,,105,3230699.735,303,,,1,0,,,,
3095815.301,,1,,,103,3095815.301,277,,,1,0,,,,
550415.5103,,1,,,18,550415.5103,51,,,1,0,,,,
149388.1359,,1,,,7,149388.1359,2,,,1,0,,,,
4769542.571,,1,,,139,4769542.571,537,,,1,0,,,,
1046442.136,,1,,,36,1046442.136,87,,,1,0,,,,
777398.4547,,1,,,14,777398.4547,136,,,1,0,,,,
232059.2402,,1,,,10,232059.2402,8,,,1,0,,,,
174769.6153,,1,,,7,174769.6153,9,,,1,0,,,,
206677.7608,,1,,,10,206677.7608,1,,,1,0,,,,
3189364.182,,1,,,66,3189364.182,510,,,1,0,,,,
424233.2985,,1,,,20,424233.2985,5,,,1,0,,,,
79045.17869,,1,,,3,79045.17869,5,,,1,0,,,,
1829642.072,,1,,,41,1829642.072,275,,,1,0,,,,
1296631.005,,1,,,46,1296631.005,100,,,1,0,,,,
104426.6581,,1,,,3,104426.6581,12,,,1,0,,,,
1394530.997,,1,,,36,1394530.997,183,,,1,0,,,,
2806466.436,,1,,,95,2806466.436,242,,,1,0,,,,
1551170.984,,1,,,48,1551170.984,159,,,1,0,,,,
462668.1101,,1,,,16,462668.1101,38,,,1,0,,,,
1089953.244,,1,,,26,1089953.244,155,,,1,0,,,,
918809.5542,,1,,,19,918809.5542,147,,,1,0,,,,
375645.8951,,1,,,11,375645.8951,42,,,1,0,,,,
236410.351,,1,,,7,236410.351,26,,,1,0,,,,
1264722.859,,1,,,48,1264722.859,80,,,1,0,,,,
166067.3938,,1,,,8,166067.3938,1,,,1,0,,,,
100800.7325,,1,,,3,100800.7325,11,,,1,0,,,,
12993141.9,,1,,,124,12993141.9,2889,,,1,0,,,,
440187.3713,,1,,,19,440187.3713,15,,,1,0,,,,
326333.3065,,1,,,15,326333.3065,6,,,1,0,,,,
431485.1497,,1,,,10,431485.1497,63,,,1,0,,,,
3916724.863,,1,,,37,3916724.863,873,,,1,0,,,,
2084907.236,,1,,,60,2084907.236,239,,,1,0,,,,
206677.7608,,1,,,10,206677.7608,1,,,1,0,,,,
102976.2878,,1,,,4,102976.2878,6,,,1,0,,,,
102976.2878,,1,,,4,102976.2878,6,,,1,0,,,,
5040036.623,,1,,,225,5040036.623,130,,,1,0,,,,
819459.1919,,1,,,30,819459.1919,58,,,1,0,,,,
1520713.208,,1,,,49,1520713.208,145,,,1,0,,,,
588125.1369,,1,,,22,588125.1369,39,,,1,0,,,,
1360447.296,,1,,,57,1360447.296,56,,,1,0,,,,
1356821.37,,1,,,37,1356821.37,167,,,1,0,,,,
1368424.332,,1,,,44,1368424.332,131,,,1,0,,,,
2997190.124,,1,,,131,2997190.124,93,,,1,0,,,,
783199.9357,,1,,,10,783199.9357,160,,,1,0,,,,
292974.7908,,1,,,13,292974.7908,8,,,1,0,,,,
389424.4125,,1,,,19,389424.4125,1,,,1,0,,,,
1198731.013,,1,,,56,1198731.013,17,,,1,0,,,,
403928.115,,1,,,19,403928.115,5,,,1,0,,,,
168968.1343,,1,,,6,168968.1343,13,,,1,0,,,,
169693.3194,,1,,,8,169693.3194,2,,,1,0,,,,
277745.9031,,1,,,11,277745.9031,15,,,1,0,,,,
308928.8635,,1,,,12,308928.8635,18,,,1,0,,,,
362592.5628,,1,,,10,362592.5628,44,,,1,0,,,,
174044.4301,,1,,,5,174044.4301,20,,,1,0,,,,
79045.17869,,1,,,3,79045.17869,5,,,1,0,,,,
163166.6533,,1,,,5,163166.6533,17,,,1,0,,,,
1031938.434,,1,,,16,1031938.434,195,,,1,0,,,,
210303.6864,,1,,,5,210303.6864,30,,,1,0,,,,
190723.688,,1,,,6,190723.688,19,,,1,0,,,,
367668.8587,,1,,,9,367668.8587,51,,,1,0,,,,
