economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
,,1,,,,,,,,54,12,0,0,,14
,,1,,,,,,,,55,17,0,0,,2
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,58,22,0,0,,0
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,83,46,0,0,,2
,,1,,,,,,,,83,46,0,0,,1
,,1,,,,,,,,83,47,0,0,,8
,,1,,,,,,,,84,47,0,0,,4
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,84,42,0,0,,12
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,205,0,0,0,56,253
,,1,,,,,,,,205,0,0,0,56,253
,,1,,,,,,,,28,0,0,0,2,165
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,1,,,,,,,,1,0,,,,
,,31,,,,,,,,20,6,0,0,,46
,,2,,,,,,,,1,0,,,,
,,2,,,,,,,,1,0,,,,
,,2,,,,,,,,1,0,,,,
,,2,,,,,,,,70,21,0,0,,1
,,22,,,,,,,,67,11,0,0,,1
,,2,,,,,,,,5,0,0,0,,55
,,2,1,,,,,,,1,0,,,,
,,2,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,23,9,0,0,,37
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
,,1,1,,,,,,,1,0,,,,
